run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].ipv4.configurator.mcastGroups,"""224.0.0.1""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.node[*].mobility.typename,"""VeinsInetMobility""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.manager.updateInterval,0.1s,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.manager.host,"""localhost""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.manager.port,9999,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.manager.autoShutdown,true,,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.manager.launchConfig,"xmldoc(""FresnoState.launchd.xml"")",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.manager.moduleType,"""org.car2x.veins.subprojects.veins_inet.VeinsInetCar""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.physicalEnvironment.config,"xmldoc(""obstacles.xml"")",,,,,,,,,
canvas-0-20220516-13:45:31-12521,param,,,*.radioMedium.obstacleLoss.typename,"""IdealObstacleLoss""",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].lo[0].lo,rcvdPkFromHl:count,,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].lo[0].lo,rcvdPkFromHl:count,interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].lo[0].lo,rcvdPkFromHl:count,source,packetReceivedFromUpper,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].lo[0].lo,rcvdPkFromHl:count,title,"packets received from higher layer, count",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].lo[0].lo,rcvdPkFromHl:sum(packetBytes),,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].lo[0].lo,rcvdPkFromHl:sum(packetBytes),interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].lo[0].lo,rcvdPkFromHl:sum(packetBytes),source,packetReceivedFromUpper,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].lo[0].lo,rcvdPkFromHl:sum(packetBytes),title,"packets received from higher layer, sum(packetBytes)",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].lo[0].lo,passedUpPk:count,,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].lo[0].lo,passedUpPk:count,interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].lo[0].lo,passedUpPk:count,source,packetSentToUpper,,,,,,,,,
